200 黄现璠 | 近现代 1899~1982 | 文学、思想、政治 | 广西 | 壮 |  | 历史学家、民族学家、教育家。
201 江泽民 | 近现代 1926~2022 | 科技、政治 | 江苏 | 汉 |  | 原中国共产党中央委员会总书记（1989年–2002年）。
202 杨振宁 | 近现代 1922~2025 | 思想、科技 | 安徽 | 汉 |  | 中國物理学家（1922年-2025年）。
203 溥仪 | 近现代 1906~1967 | 文学 | 北京 | 满 |  | 中国历史上最后一位皇帝，清朝最后一位皇帝，满洲国傀儡皇帝。
204 窝阔台 | 元 1186~1241 | 政治 | 内蒙古 | 蒙古 | 帝 | 第2任蒙古大汗。
205 拔都 | 元 1205~1255 | 政治、军事 | 内蒙古 | 蒙古 | 帝 | 元时期军事人物。
206 李政道 | 近现代 1926~2024 | 思想、科技 | 上海 | 汉 |  | 華裔美國物理學家。
207 华国锋 | 近现代 1921~2008 | 政治 | 山西 | 汉 |  | 第二任中国共产党中央委员会主席，第二任中华人民共和国国务院总理。
208 术赤 | 元 1182~1228 | 军事 | 北京 | 蒙古 |  | 成吉思汗之子。
209 赵紫阳 | 近现代 1919~2005 | 政治 | 河南 | 汉 |  | 中国共产党中央委员会原总书记，中华人民共和国第3任国务院总理。
210 沈括 | 北宋 1031~1095 | 文学、思想、科技、医学、外交、政治 | 浙江 | 汉 |  | 北宋官员 (1031-1095)。
211 吴健雄 | 近现代 1912~1997 | 思想、科技 | 江苏 | 汉 |  | 美籍华人物理学家。
212 刘少奇 | 近现代 1898~1969 | 政治 | 湖南 | 汉 |  | 首任中華人民共和國全國人民代表大會常務委員會委員長，第二任中華人民共和國主席。
213 宋庆龄 | 近现代 1893~1981 | 政治 | 上海 | 汉 |  | 孫中山夫人，中華人民共和國名譽主席 (1893–1981)。
214 江青 | 近现代 1914~1991 | 艺术、政治 | 山东 | 汉 |  | 中国共产党中央政治局原委员，毛泽东的第四任妻子。
215 李登辉 | 近现代 1923~2020 | 政治 | 台湾 | 汉 |  | 农业学者 和前任中华民国总统。
216 拖雷 | 元 1191~1232 | 政治 | 内蒙古 | 蒙古 | 帝 | 成吉思汗（铁木真）之子。
217 蒙哥 | 元 1209~1259 | 政治 | 内蒙古 | 蒙古 | 帝 | 第4任蒙古大汗。
218 宋美龄 | 近现代 1898~2003 | 政治 | 上海 | 汉 |  | 蒋介石之妻・前中华民国第一夫人。
219 韩愈 | 唐 768~824 | 文学、思想、艺术、政治 | 河南 | 汉 |  | 唐朝官员、文学家（768年—824年），“唐宋八大家”之首。
220 吴承恩 | 明 1504~1582 | 文学、艺术 | 江苏 | 汉 |  | 中国明朝小说家。
221 林彪 | 近现代 1907~1971 | 军事、政治 | 湖北 | 汉 |  | 中华人民共和国元帅（排名第三）。
222 李鹏 | 近现代 1928~2019 | 政治 | 上海 | 汉 |  | 第七、八届中华人民共和国国务院总理，第九届中华人民共和国全国人民代表大会常务委员会委员长。
223 王维 | 唐 699~761 | 文学、艺术、政治 | 山西 | 汉 |  | 唐朝诗人、画家（692－761）。
224 努尔哈赤 | 明 1559~1626 | 政治 | 辽宁 | 满 | 帝 | 清朝政权奠基人、后金国首位汗。
225 蒋经国 | 近现代 1910~1988 | 政治 | 浙江 | 汉 |  | 前任中华民国总统。
226 林语堂 | 近现代 1895~1976 | 文学 | 福建 | 汉 |  | 中国语言学家、文学家与发明家。
227 法显 | 东晋 340~422 | 文学、思想、外交 | 山西 | 汉 |  | 东晋时期文学、思想、外交人物。
228 李渊 | 唐 566~635 | 政治 | 陕西 | 汉 |  | 中国唐朝开国皇帝。
229 顺治帝 | 清 1638~1661 | 政治、艺术 | 北京 | 满 | 帝 | 中国清朝第2位皇帝。
230 朱德 | 近现代 1886~1976 | 政治 | 四川 | 汉 |  | 中华人民共和国元帅 (1886-1976)。
231 皇太极 | 清 1592~1643 | 政治 | 辽宁 | 满 |  | 中国清朝开国皇帝、后金第二位汗。
232 曹丕 | 三国 187~226 | 文学、政治 | 安徽 | 汉 |  | 三国时期文学、政治人物。
233 咸丰帝 | 清 1831~1861 | 政治 | 北京 | 满 | 帝 | 中国清朝皇帝。
234 速不台 | 元 1175~1248 | 军事 | 内蒙古 | 蒙古 |  | 元时期军事人物。
235 雍正帝 | 清 1678~1735 | 政治 | 北京 | 满 |  | 中国清朝皇帝。
236 康有为 | 近现代 1858~1927 | 文学、思想、政治 | 广东 | 汉 |  | 中國學者、政治家。
237 胡耀邦 | 近现代 1915~1989 | 政治 | 湖南 | 汉 |  | 中国共产党中央委员会原总书记。
238 建文帝 | 明 1377~1402 | 政治 | 江苏 | 汉 |  | 明朝第2位皇帝。
239 明思宗 | 明 1611~1644 | 政治 | 北京 | 汉 | 帝 | 中国明朝末代皇帝。
240 明世宗 | 明 1507~1567 | 政治 | 湖北 | 汉 |  | 大明第11位皇帝、即嘉靖帝 (1507-1567)。
241 明神宗 | 明 1563~1620 | 文学 | 北京 | 汉 |  | 大明第13位皇帝。
242 严复 | 近现代 1854~1921 | 文学 | 福建 | 汉 |  | 中國思想家、翻譯家（1854－1921）。
243 第六世达赖喇嘛 | 清 1683~1706 | 文学 | 西藏 | 门巴 |  | 清时期文学人物。
244 道光帝 | 清 1782~1850 | 政治 | 北京 | 满 | 帝 | 中国清朝皇帝。
245 汪精卫 | 近现代 1883~1944 | 艺术、外交、政治 | 广东 | 汉 |  | 中华民国政治家。
246 巴金 | 近现代 1904~2005 | 文学、思想、政治 | 四川 | 汉 |  | 中國作家 (1904-2005)。
247 元成宗 | 元 1265~1307 | 政治 | 北京 | 蒙古 | 帝 | 元朝第2位皇帝。
248 李先念 | 近现代 1909~1992 | 军事、政治 | 湖北 | 汉 |  | 第三任中華人民共和國主席。
249 罗贯中 | 元 1334~1400 | 文学 | 山西 | 汉 |  | 《三国志演义》作者。
250 彭德怀 | 近现代 1898~1974 | 军事、政治 | 湖南 | 汉 |  | 中華人民共和國元帥 (1898-1974)。
251 周有光 | 近现代 1906~2017 | 文学、思想 | 江苏 | 汉 |  | 中国语言学家。
252 石涛 | 清 1642~1707 | 文学、思想、艺术 | 广西 | 汉 |  | 明时期文学人物。
253 嘉庆帝 | 清 1760~1820 | 政治 | 北京 | 满 |  | 中国清朝皇帝 (1760-1820)。
254 洪秀全 | 清 1814~1864 | 思想、政治 | 广东 | 汉 |  | 太平天国创建者。
255 杨尚昆 | 近现代 1907~1998 | 政治 | 重庆 | 汉 |  | 第四任中华人民共和国主席。
256 秦二世 | 秦 -229~-206 | 政治 | 陕西 | 汉 |  | 中国秦朝皇帝。
257 阿里不哥 | 元 1219~1266 | 政治 | 内蒙古 | 蒙古 | 帝 | 元时期政治人物。
258 陈独秀 | 近现代 1879~1942 | 文学、思想、政治 | 安徽 | 汉 |  | 首任中国共产党中央委员会总书记。
259 张爱玲 | 近现代 1921~1995 | 文学 | 上海 | 汉 |  | 散文家、小說家、劇本作家及劇本評論家。
260 李渔 | 清 1611~1680 | 文学、艺术 | 江苏 | 汉 |  | 明末清初作家（1611—1680）。
261 胡适 | 近现代 1891~1962 | 文学、思想、外交、政治 | 上海 | 汉 |  | 中國历史学家、作家、哲学家，新文化運動的領袖之一。
262 布袋和尚 | 唐 850~916 | 文学、思想 | 浙江 | 汉 |  | 唐时期文学、思想人物。
263 宋徽宗 | 北宋 1082~1135 | 政治、文学、艺术 | 河南 | 汉 | 帝 | 宋朝第8位皇帝。
264 明宣宗 | 明 1399~1435 | 艺术 | 北京 | 汉 |  | 明朝第5位皇帝 (1399-1435)。
265 顾维钧 | 近现代 1888~1985 | 外交、政治 | 上海 | 汉 |  | 外交官 和前任中华民国大总统。
266 郭沫若 | 近现代 1892~1978 | 文学、科技、艺术、政治 | 四川 | 汉 |  | 中国作家、历史学家。
267 刘徽 | 三国 225~295 | 科技 | 山东 | 汉 |  | 三国魏数学家。
268 杜牧 | 唐 803~852 | 文学、艺术 | 陕西 | 汉 |  | 晚唐文人与士大夫。
269 蒲松龄 | 清 1640~1715 | 文学 | 山东 | 汉 |  | 清朝作家 (1640-1715)。
270 明仁宗 | 明 1378~1425 | 政治 | 北京 | 汉 |  | 明朝第4位皇帝。
271 金庸 | 近现代 1924~2018 | 文学、艺术、政治 | 浙江 | 汉 |  | 香港武俠小說作家（1924-2018）。
